name,offset,size,shape,dtype
model.decoder.layers.22.self_attn_layer_norm.weight,39383388160,10240,2560,torch.float32
model.decoder.layers.22.self_attn_layer_norm.bias,39383398400,10240,2560,torch.float32
model.decoder.layers.22.fc1.weight,39383408640,104857600,10240x2560,torch.float32
model.decoder.layers.22.fc1.bias,39488266240,40960,10240,torch.float32
model.decoder.layers.22.fc2.weight,39488307200,104857600,2560x10240,torch.float32
model.decoder.layers.22.fc2.bias,39593164800,10240,2560,torch.float32
model.decoder.layers.22.final_layer_norm.weight,39593175040,10240,2560,torch.float32
model.decoder.layers.22.final_layer_norm.bias,39593185280,10240,2560,torch.float32
model.decoder.layers.23.self_attn.k_proj.weight,39593195520,26214400,2560x2560,torch.float32
model.decoder.layers.23.self_attn.k_proj.bias,39619409920,10240,2560,torch.float32
model.decoder.layers.23.self_attn.v_proj.weight,39619420160,26214400,2560x2560,torch.float32
model.decoder.layers.23.self_attn.v_proj.bias,39645634560,10240,2560,torch.float32
model.decoder.layers.23.self_attn.q_proj.weight,39645644800,26214400,2560x2560,torch.float32
model.decoder.layers.23.self_attn.q_proj.bias,39671859200,10240,2560,torch.float32
model.decoder.layers.23.self_attn.out_proj.weight,39671869440,26214400,2560x2560,torch.float32
model.decoder.layers.23.self_attn.out_proj.bias,39698083840,10240,2560,torch.float32
model.decoder.layers.23.self_attn_layer_norm.weight,39698094080,10240,2560,torch.float32
model.decoder.layers.23.self_attn_layer_norm.bias,39698104320,10240,2560,torch.float32
model.decoder.layers.23.fc1.weight,39698114560,104857600,10240x2560,torch.float32
model.decoder.layers.23.fc1.bias,39802972160,40960,10240,torch.float32
model.decoder.layers.23.fc2.weight,39803013120,104857600,2560x10240,torch.float32
model.decoder.layers.23.fc2.bias,39907870720,10240,2560,torch.float32
model.decoder.layers.23.final_layer_norm.weight,39907880960,10240,2560,torch.float32
model.decoder.layers.23.final_layer_norm.bias,39907891200,10240,2560,torch.float32
model.decoder.layers.24.self_attn.k_proj.weight,39907901440,26214400,2560x2560,torch.float32
model.decoder.layers.24.self_attn.k_proj.bias,39934115840,10240,2560,torch.float32
model.decoder.layers.24.self_attn.v_proj.weight,39934126080,26214400,2560x2560,torch.float32
model.decoder.layers.24.self_attn.v_proj.bias,39960340480,10240,2560,torch.float32
model.decoder.layers.24.self_attn.q_proj.weight,39960350720,26214400,2560x2560,torch.float32
model.decoder.layers.24.self_attn.q_proj.bias,39986565120,10240,2560,torch.float32
model.decoder.layers.24.self_attn.out_proj.weight,39986575360,26214400,2560x2560,torch.float32
model.decoder.layers.24.self_attn.out_proj.bias,40012789760,10240,2560,torch.float32
model.decoder.layers.24.self_attn_layer_norm.weight,40012800000,10240,2560,torch.float32
model.decoder.layers.24.self_attn_layer_norm.bias,40012810240,10240,2560,torch.float32
model.decoder.layers.24.fc1.weight,40012820480,104857600,10240x2560,torch.float32
model.decoder.layers.24.fc1.bias,40117678080,40960,10240,torch.float32
model.decoder.layers.24.fc2.weight,40117719040,104857600,2560x10240,torch.float32
model.decoder.layers.24.fc2.bias,40222576640,10240,2560,torch.float32
model.decoder.layers.24.final_layer_norm.weight,40222586880,10240,2560,torch.float32
model.decoder.layers.24.final_layer_norm.bias,40222597120,10240,2560,torch.float32
model.decoder.layers.25.self_attn.k_proj.weight,40222607360,26214400,2560x2560,torch.float32
model.decoder.layers.25.self_attn.k_proj.bias,40248821760,10240,2560,torch.float32
