Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5649,12.06,1788521719868003.310	,1788521719868015.370	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5650,7.58,1788521719868015.390	,1788521719868022.970	
2,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,KERNEL_AICORE,2,5651,48.82,1788521719868022.990	,1788521719868071.810	
2,aclnnPermute_TransposeAiCore_Transpose,KERNEL_AIVEC,2,5652,21.16,1788521719868071.830	,1788521719868092.990	
2,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,KERNEL_AICORE,2,5653,72.48,1788521719868093.030	,1788521719868165.510	
2,DropOutDoMask10,KERNEL_AIVEC,2,5654,23.32,1788521719868165.530	,1788521719868188.850	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5655,23.86,1788521719868188.870	,1788521719868212.730	
2,aclnnSoftmaxBackward_SoftmaxGrad_SoftmaxGrad,KERNEL_AIVEC,2,5656,106.32,1788521719868212.750	,1788521719868319.070	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5657,17.86,1788521719868319.090	,1788521719868336.950	
2,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,KERNEL_AICORE,2,5658,12.96,1788521719868336.970	,1788521719868349.930	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5659,1.32,1788521719868349.970	,1788521719868351.290	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5660,10.72,1788521719868351.310	,1788521719868362.030	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5661,5.66,1788521719868362.050	,1788521719868367.710	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5662,16.4,1788521719868367.750	,1788521719868384.150	
2,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,KERNEL_AICORE,2,5663,22.72,1788521719868384.170	,1788521719868406.890	
2,RealDiv8,KERNEL_AIVEC,2,5664,8.1,1788521719868406.930	,1788521719868415.030	
2,aclnnPermute_TransposeAiCore_Transpose,KERNEL_AIVEC,2,5665,16.16,1788521719868415.050	,1788521719868431.210	
2,aclnnMatmul_BatchMatMulNd_BatchMatMulV2,KERNEL_AICORE,2,5666,21.58,1788521719868431.250	,1788521719868452.830	
2,RealDiv8,KERNEL_AIVEC,2,5667,5.58,1788521719868452.850	,1788521719868458.430	
2,aclnnPermute_TransposeAiCore_Transpose,KERNEL_AIVEC,2,5668,23.54,1788521719868458.450	,1788521719868481.990	
2,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,KERNEL_AICORE,2,5669,12.02,1788521719868482.010	,1788521719868494.030	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5670,1.24,1788521719868494.050	,1788521719868495.290	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5671,10.0,1788521719868495.310	,1788521719868505.310	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5672,7.02,1788521719868505.330	,1788521719868512.350	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5673,14.96,1788521719868512.370	,1788521719868527.330	
2,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,KERNEL_AICORE,2,5674,11.38,1788521719868527.350	,1788521719868538.730	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5675,1.22,1788521719868538.750	,1788521719868539.970	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5676,9.78,1788521719868539.990	,1788521719868549.770	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5677,3.14,1788521719868549.790	,1788521719868552.930	
2,aclnnMm_MatMulCommon_MatMulV2,KERNEL_AICORE,2,5678,15.34,1788521719868552.950	,1788521719868568.290	
2,AddN55,KERNEL_AIVEC,2,5679,10.78,1788521719868568.310	,1788521719868579.090	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5680,7.52,1788521719868579.130	,1788521719868586.650	
2,LayerNormGrad53/LayerNormXBackpropV3,KERNEL_AIVEC,2,5681,34.74,1788521719868586.670	,1788521719868621.410	
2,LayerNormGrad53/LayerNormBetaGammaBackpropV2_MemSet,KERNEL_AIVEC,2,5682,12.0,1788521719868621.430	,1788521719868633.430	
2,LayerNormGrad53/LayerNormBetaGammaBackpropV2,KERNEL_AIVEC,2,5683,21.38,1788521719868633.450	,1788521719868654.830	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5684,7.62,1788521719868654.850	,1788521719868662.470	
2,AddN54,KERNEL_AIVEC,2,5685,9.58,1788521719868662.490	,1788521719868672.070	
2,DropOutDoMask12,KERNEL_AIVEC,2,5686,8.86,1788521719868672.090	,1788521719868680.950	
2,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,KERNEL_AICORE,2,5687,12.1,1788521719868680.990	,1788521719868693.090	
2,aclnnCast_CastAiCore_Cast,KERNEL_AIVEC,2,5688,1.26,1788521719868693.110	,1788521719868694.370	
